PORTFOLIO.ID PORTFOLIO.PRIJMENI                                 PRODUCT.NAZEV                                      POCET_KUSU
------------ -------------------------------------------------- -------------------------------------------------- ----------
           1 Novák                                              BANK OF IRELAND                                           -48 
           1 Novák                                              GENERALI PREMIUM BALANCED A EUR                          -132 
           1 Novák                                              CONSEQ INVEST PLC - EQUITY FUND                           -58 
           1 Novák                                              GENERALI PREMIUM BALANCED B CZK                          -132 
           1 Novák                                              GENERALI PREMIUM BALANCED B HUF                          -100 
           1 Novák                                              GENERALI DYNAMIC BALANCED A HUF                          -110 
           1 Novák                                              GENERALI DYNAMIC BALANCED B RON                          -156 
           1 Novák                                              PENTAIR PLC                                              -154 
           1 Novák                                              SOURCE NASDAQ BIOTECH UCITS ETF                          -120 
           1 Novák                                              ISHARES EUR CORP BBB-BB                                  -110 
           1 Novák                                              UBS ETF FACTOR LOW VOLATLY                               -154 
           1 Novák                                              Emerging Europe Debt Fund A-shares CZK                      6 
           1 Novák                                              RYANAIR HOLDINGS PLC                                     -110 
           1 Novák                                              Thames River High Income Fund                             -34 
           1 Novák                                              VITTORIA ASSICURAZIONI SPA                               -120 
           1 Novák                                              SAIPEM SPA                                               -286 
           1 Novák                                              DANIELI  CO                                              -156 
           1 Novák                                              ISHARES MSCI AC FAR EAST EX-JAPAN ETF                     -23 
           1 Novák                                              GEMINA SPA                                               -140 
           1 Novák                                              PIAGGIO  C. S.P.A.                                       -130 
           1 Novák                                              READYMIX PLC                                              -46 
           1 Novák                                              VANGUARD FTSE JAPAN UCITS                                -110 
           1 Novák                                              FINISTERRE DM DEBT FUND EURO I CLASS                     -154 
           1 Novák                                              CHINA HIGH SPEED TRANSM. EQUIP.                          -169 
           1 Novák                                              GENERALI GLOBAL EQUITY A PLN                               -9 
           1 Novák                                              INVESCO PHYSICAL PLATINUM                                 -52 
           1 Novák                                              OPUS Fund Limited Class S Shares                         -130 
           1 Novák                                              BANK TURANALEM JSC                                       -143 
           1 Novák                                              GENERALI OIL AND ENERGY A EUR                             -63 
           2 Chalupa                                            ACCENTURE LTD                                             118 
           2 Chalupa                                            MASON FINAN SUB 6,875 08/15/23                           -143 
           2 Chalupa                                            FS ENERGY  POWR 7 1/2 08/15/23                           -168 
           2 Chalupa                                            MBANK 1.058 05/09/2022                                   -140 
           1 Novák                                              SUPERIOR PLUS 7 07/15/26                                 -168 
           2 Chalupa                                            EPH FINANCING L+200 16/07/2022                           -196 
           1 Novák                                              TELECOM ITALIA-RSP                                       -168 
           1 Novák                                              PRYSMIAN SPA                                             -140 
           1 Novák                                              ENEL SPA AZIONI 06/09                                    -154 
           1 Novák                                              PIRELLI  C SPA                                           -156 
           1 Novák                                              BANCA MONTE DEI PASCHI SIENA                             -130 
           1 Novák                                              OVS SPA                                                  -169 
           1 Novák                                              BANCA FARMAFACTORING SPA                                 -169 
           1 Novák                                              UNICREDIT SPA PLN                                        -289 
           1 Novák                                              IVY Rosewood Diversified Feeder Fund Class A1 USD        -121 
           1 Novák                                              ETFS LONGER DATD AGRICULTURE                             -144 
           1 Novák                                              VELTI PLC                                                -100 
